word_key,language_key,value
Cuenca,en,Cuenca
Cuenca,ru,Куэнка
Cáceres,es,Cáceres
Cáceres,en,Caceres
Cáceres,ru,Касерес
Cádiz,es,Cádiz
Cádiz,en,Cadiz
Cádiz,ru,Кадис
Córdoba,es,Córdoba
Córdoba,en,Cordoba
Córdoba,ru,Кордова
Extremadura,es,Extremadura
Extremadura,en,Extremadura
Extremadura,ru,Эстремадура
Galicia,es,Galicia
Galicia,en,Galicia
Galicia,ru,Галисия
Gipuzkoa,es,Gipuzkoa
Gipuzkoa,en,Gipuzkoa
Gipuzkoa,ru,Гипускоа
Girona,es,Girona
Girona,en,Girona
Girona,ru,Жирона
Granada,es,Granada
Granada,en,Granada
Granada,ru,Гранада
Guadalajara,es,Guadalajara
Guadalajara,en,Guadalajara
Guadalajara,ru,Гвадалахара
Huelva,es,Huelva
Huelva,en,Huelva
Huelva,ru,Уэльва
Huesca,es,Huesca
Huesca,en,Huesca
Huesca,ru,Уэска
Illes Balears,es,Illes Balears
Illes Balears,en,Balearic Islands
Illes Balears,ru,Балеарские острова
Jaén,es,Jaén
Jaén,en,Jaen
Jaén,ru,Хаэн
La Rioja,es,La Rioja
La Rioja,en,La Rioja
La Rioja,ru,Ла-Риоха
Las Palmas,es,Las Palmas
Las Palmas,en,Las Palmas
Las Palmas,ru,Лас-Пальмас
León,es,León
León,en,Leon
León,ru,Леон
Lleida,es,Lleida
Lleida,en,Lleida
Lleida,ru,Льейда
Lugo,es,Lugo
Lugo,en,Lugo
Lugo,ru,Луго
Madrid,es,Madrid
Madrid,en,Madrid
Madrid,ru,Мадрид
Melilla,es,Melilla
Melilla,en,Melilla
Melilla,ru,Мелилья
Municipio,es,Municipio
Municipio,en,Municipality
Municipio,ru,Муниципалитет
Municipio 1 de A Coruña,es,Municipio 1 de A Coruña
Municipio 1 de A Coruña,en,Municipality 1 of A Coruña
Municipio 1 de A Coruña,ru,Муниципалитет 1 провинции Ла-Корунья
Municipio 1 de Albacete,es,Municipio 1 de Albacete
Municipio 1 de Albacete,en,Municipality 1 of Albacete
Municipio 1 de Albacete,ru,Муниципалитет 1 провинции Альбасете
Municipio 1 de Alicante,es,Municipio 1 de Alicante
Municipio 1 de Alicante,en,Municipality 1 of Alicante
Municipio 1 de Alicante,ru,Муниципалитет 1 провинции Аликанте
Municipio 1 de Almería,es,Municipio 1 de Almería
Municipio 1 de Almería,en,Municipality 1 of Almeria
Municipio 1 de Almería,ru,Муниципалитет 1 провинции Альмерия
Municipio 1 de Asturias,es,Municipio 1 de Asturias
Municipio 1 de Asturias,en,Municipality 1 of Asturias
Municipio 1 de Asturias,ru,Муниципалитет 1 провинции Астурия
Municipio 1 de Badajoz,es,Municipio 1 de Badajoz
Municipio 1 de Badajoz,en,Municipality 1 of Badajoz
Municipio 1 de Badajoz,ru,Муниципалитет 1 провинции Бадахос
Municipio 1 de Barcelona,es,Municipio 1 de Barcelona
Municipio 1 de Barcelona,en,Municipality 1 of Barcelona
Municipio 1 de Barcelona,ru,Муниципалитет 1 провинции Барселона
Municipio 1 de Bizkaia,es,Municipio 1 de Bizkaia
Municipio 1 de Bizkaia,en,Municipality 1 of Biscay
Municipio 1 de Bizkaia,ru,Муниципалитет 1 провинции Бискайя
Municipio 1 de Burgos,es,Municipio 1 de Burgos
Municipio 1 de Burgos,en,Municipality 1 of Burgos
Municipio 1 de Burgos,ru,Муниципалитет 1 провинции Бургос
Municipio 1 de Cantabria,es,Municipio 1 de Cantabria
Municipio 1 de Cantabria,en,Municipality 1 of Cantabria
Municipio 1 de Cantabria,ru,Муниципалитет 1 провинции Кантабрия
Municipio 1 de Castellón,es,Municipio 1 de Castellón
Municipio 1 de Castellón,en,Municipality 1 of Castellon
Municipio 1 de Castellón,ru,Муниципалитет 1 провинции Кастельон
Municipio 1 de Ceuta,es,Municipio 1 de Ceuta
Municipio 1 de Ceuta,en,Municipality 1 of Ceuta
Municipio 1 de Ceuta,ru,Муниципалитет 1 провинции Сеута
Municipio 1 de Ciudad Real,es,Municipio 1 de Ciudad Real
Municipio 1 de Ciudad Real,en,Municipality 1 of Ciudad Real
Municipio 1 de Ciudad Real,ru,Муниципалитет 1 провинции Сьюдад-Реаль
Municipio 1 de Cuenca,es,Municipio 1 de Cuenca
Municipio 1 de Cuenca,en,Municipality 1 of Cuenca
Municipio 1 de Cuenca,ru,Муниципалитет 1 провинции Куэнка
Municipio 1 de Cáceres,es,Municipio 1 de Cáceres
Municipio 1 de Cáceres,en,Municipality 1 of Caceres
Municipio 1 de Cáceres,ru,Муниципалитет 1 провинции Касерес
Municipio 1 de Cádiz,es,Municipio 1 de Cádiz
Municipio 1 de Cádiz,en,Municipality 1 of Cadiz
Municipio 1 de Cádiz,ru,Муниципалитет 1 провинции Кадис
Municipio 1 de Córdoba,es,Municipio 1 de Córdoba
Municipio 1 de Córdoba,en,Municipality 1 of Cordoba
Municipio 1 de Córdoba,ru,Муниципалитет 1 провинции Кордова
Municipio 1 de Gipuzkoa,es,Municipio 1 de Gipuzkoa
Municipio 1 de Gipuzkoa,en,Municipality 1 of Gipuzkoa
Municipio 1 de Gipuzkoa,ru,Муниципалитет 1 провинции Гипускоа
Municipio 1 de Girona,es,Municipio 1 de Girona
Municipio 1 de Girona,en,Municipality 1 of Girona
Municipio 1 de Girona,ru,Муниципалитет 1 провинции Жирона
Municipio 1 de Granada,es,Municipio 1 de Granada
Municipio 1 de Granada,en,Municipality 1 of Granada
Municipio 1 de Granada,ru,Муниципалитет 1 провинции Гранада
Municipio 1 de Guadalajara,es,Municipio 1 de Guadalajara
Municipio 1 de Guadalajara,en,Municipality 1 of Guadalajara
Municipio 1 de Guadalajara,ru,Муниципалитет 1 провинции Гвадалахара
Municipio 1 de Huelva,es,Municipio 1 de Huelva
Municipio 1 de Huelva,en,Municipality 1 of Huelva
Municipio 1 de Huelva,ru,Муниципалитет 1 провинции Уэльва
Municipio 1 de Huesca,es,Municipio 1 de Huesca
Municipio 1 de Huesca,en,Municipality 1 of Huesca
Municipio 1 de Huesca,ru,Муниципалитет 1 провинции Уэска
Municipio 1 de Illes Balears,es,Municipio 1 de Illes Balears
Municipio 1 de Illes Balears,en,Municipality 1 of Balearic Islands
Municipio 1 de Illes Balears,ru,Муниципалитет 1 провинции Балеарские острова
Municipio 1 de Jaén,es,Municipio 1 de Jaén
Municipio 1 de Jaén,en,Municipality 1 of Jaen
Municipio 1 de Jaén,ru,Муниципалитет 1 провинции Хаэн
Municipio 1 de La Rioja,es,Municipio 1 de La Rioja
Municipio 1 de La Rioja,en,Municipality 1 of La Rioja
Municipio 1 de La Rioja,ru,Муниципалитет 1 провинции Ла-Риоха
Municipio 1 de Las Palmas,es,Municipio 1 de Las Palmas
Municipio 1 de Las Palmas,en,Municipality 1 of Las Palmas
Municipio 1 de Las Palmas,ru,Муниципалитет 1 провинции Лас-Пальмас
Municipio 1 de León,es,Municipio 1 de León
Municipio 1 de León,en,Municipality 1 of Leon
Municipio 1 de León,ru,Муниципалитет 1 провинции Леон
Municipio 1 de Lleida,es,Municipio 1 de Lleida
Municipio 1 de Lleida,en,Municipality 1 of Lleida
Municipio 1 de Lleida,ru,Муниципалитет 1 провинции Льейда
Municipio 1 de Lugo,es,Municipio 1 de Lugo
Municipio 1 de Lugo,en,Municipality 1 of Lugo
Municipio 1 de Lugo,ru,Муниципалитет 1 провинции Луго
Municipio 1 de Madrid,es,Municipio 1 de Madrid
Municipio 1 de Madrid,en,Municipality 1 of Madrid
Municipio 1 de Madrid,ru,Муниципалитет 1 провинции Мадрид
Municipio 1 de Melilla,es,Municipio 1 de Melilla
Municipio 1 de Melilla,en,Municipality 1 of Melilla
Municipio 1 de Melilla,ru,Муниципалитет 1 провинции Мелилья
Municipio 1 de Murcia,es,Municipio 1 de Murcia
Municipio 1 de Murcia,en,Municipality 1 of Murcia
Municipio 1 de Murcia,ru,Муниципалитет 1 провинции Мурсия
Municipio 1 de Málaga,es,Municipio 1 de Málaga
Municipio 1 de Málaga,en,Municipality 1 of Malaga
Municipio 1 de Málaga,ru,Муниципалитет 1 провинции Малага
Municipio 1 de Navarra,es,Municipio 1 de Navarra
Municipio 1 de Navarra,en,Municipality 1 of Navarre
Municipio 1 de Navarra,ru,Муниципалитет 1 провинции Наварра
Municipio 1 de Ourense,es,Municipio 1 de Ourense
Municipio 1 de Ourense,en,Municipality 1 of Ourense
Municipio 1 de Ourense,ru,Муниципалитет 1 провинции Оуренсе
Municipio 1 de Palencia,es,Municipio 1 de Palencia
Municipio 1 de Palencia,en,Municipality 1 of Palencia
Municipio 1 de Palencia,ru,Муниципалитет 1 провинции Паленсия
Municipio 1 de Pontevedra,es,Municipio 1 de Pontevedra
Municipio 1 de Pontevedra,en,Municipality 1 of Pontevedra
Municipio 1 de Pontevedra,ru,Муниципалитет 1 провинции Понтеведра
Municipio 1 de Salamanca,es,Municipio 1 de Salamanca
Municipio 1 de Salamanca,en,Municipality 1 of Salamanca
Municipio 1 de Salamanca,ru,Муниципалитет 1 провинции Саламанка
Municipio 1 de Santa Cruz de Tenerife,es,Municipio 1 de Santa Cruz de Tenerife
Municipio 1 de Santa Cruz de Tenerife,en,Municipality 1 of Santa Cruz de Tenerife
Municipio 1 de Santa Cruz de Tenerife,ru,Муниципалитет 1 провинции Санта-Крус-де-Тенерифе
Municipio 1 de Segovia,es,Municipio 1 de Segovia
Municipio 1 de Segovia,en,Municipality 1 of Segovia
Municipio 1 de Segovia,ru,Муниципалитет 1 провинции Сеговия
Municipio 1 de Sevilla,es,Municipio 1 de Sevilla
Municipio 1 de Sevilla,en,Municipality 1 of Seville
Municipio 1 de Sevilla,ru,Муниципалитет 1 провинции Севилья
Municipio 1 de Soria,es,Municipio 1 de Soria
Municipio 1 de Soria,en,Municipality 1 of Soria
Municipio 1 de Soria,ru,Муниципалитет 1 провинции Сория
Municipio 1 de Tarragona,es,Municipio 1 de Tarragona
Municipio 1 de Tarragona,en,Municipality 1 of Tarragona
Municipio 1 de Tarragona,ru,Муниципалитет 1 провинции Таррагона
Municipio 1 de Teruel,es,Municipio 1 de Teruel
Municipio 1 de Teruel,en,Municipality 1 of Teruel
Municipio 1 de Teruel,ru,Муниципалитет 1 провинции Теруэль
Municipio 1 de Toledo,es,Municipio 1 de Toledo
Municipio 1 de Toledo,en,Municipality 1 of Toledo
Municipio 1 de Toledo,ru,Муниципалитет 1 провинции Толедо
Municipio 1 de Valencia,es,Municipio 1 de Valencia
Municipio 1 de Valencia,en,Municipality 1 of Valencia
Municipio 1 de Valencia,ru,Муниципалитет 1 провинции Валенсия
Municipio 1 de Valladolid,es,Municipio 1 de Valladolid
Municipio 1 de Valladolid,en,Municipality 1 of Valladolid
Municipio 1 de Valladolid,ru,Муниципалитет 1 провинции Вальядолид
Municipio 1 de Zamora,es,Municipio 1 de Zamora
Municipio 1 de Zamora,en,Municipality 1 of Zamora
Municipio 1 de Zamora,ru,Муниципалитет 1 провинции Самора
Municipio 1 de Zaragoza,es,Municipio 1 de Zaragoza
Municipio 1 de Zaragoza,en,Municipality 1 of Zaragoza
Municipio 1 de Zaragoza,ru,Муниципалитет 1 провинции Сарагоса
Municipio 1 de Álava,es,Municipio 1 de Álava
Municipio 1 de Álava,en,Municipality 1 of Álava
Municipio 1 de Álava,ru,Муниципалитет 1 провинции Алава
Municipio 1 de Ávila,es,Municipio 1 de Ávila
Municipio 1 de Ávila,en,Municipality 1 of Ávila
Municipio 1 de Ávila,ru,Муниципалитет 1 провинции Авила
Municipio 2 de A Coruña,es,Municipio 2 de A Coruña
Municipio 2 de A Coruña,en,Municipality 2 of A Coruña
Municipio 2 de A Coruña,ru,Муниципалитет 2 провинции Ла-Корунья
Municipio 2 de Albacete,es,Municipio 2 de Albacete
Municipio 2 de Albacete,en,Municipality 2 of Albacete
Municipio 2 de Albacete,ru,Муниципалитет 2 провинции Альбасете
Municipio 2 de Alicante,es,Municipio 2 de Alicante
Municipio 2 de Alicante,en,Municipality 2 of Alicante
Municipio 2 de Alicante,ru,Муниципалитет 2 провинции Аликанте
Municipio 2 de Almería,es,Municipio 2 de Almería
Municipio 2 de Almería,en,Municipality 2 of Almeria
Municipio 2 de Almería,ru,Муниципалитет 2 провинции Альмерия
Municipio 2 de Asturias,es,Municipio 2 de Asturias
Municipio 2 de Asturias,en,Municipality 2 of Asturias
Municipio 2 de Asturias,ru,Муниципалитет 2 провинции Астурия
Municipio 2 de Badajoz,es,Municipio 2 de Badajoz
Municipio 2 de Badajoz,en,Municipality 2 of Badajoz
Municipio 2 de Badajoz,ru,Муниципалитет 2 провинции Бадахос
Municipio 2 de Barcelona,es,Municipio 2 de Barcelona
Municipio 2 de Barcelona,en,Municipality 2 of Barcelona
Municipio 2 de Barcelona,ru,Муниципалитет 2 провинции Барселона
Municipio 2 de Bizkaia,es,Municipio 2 de Bizkaia
Municipio 2 de Bizkaia,en,Municipality 2 of Biscay
Municipio 2 de Bizkaia,ru,Муниципалитет 2 провинции Бискайя
Municipio 2 de Burgos,es,Municipio 2 de Burgos
Municipio 2 de Burgos,en,Municipality 2 of Burgos
Municipio 2 de Burgos,ru,Муниципалитет 2 провинции Бургос
Municipio 2 de Cantabria,es,Municipio 2 de Cantabria
Municipio 2 de Cantabria,en,Municipality 2 of Cantabria
Municipio 2 de Cantabria,ru,Муниципалитет 2 провинции Кантабрия
Municipio 2 de Castellón,es,Municipio 2 de Castellón
Municipio 2 de Castellón,en,Municipality 2 of Castellon
Municipio 2 de Castellón,ru,Муниципалитет 2 провинции Кастельон
Municipio 2 de Ceuta,es,Municipio 2 de Ceuta
Municipio 2 de Ceuta,en,Municipality 2 of Ceuta
Municipio 2 de Ceuta,ru,Муниципалитет 2 провинции Сеута
Municipio 2 de Ciudad Real,es,Municipio 2 de Ciudad Real
Municipio 2 de Ciudad Real,en,Municipality 2 of Ciudad Real
Municipio 2 de Ciudad Real,ru,Муниципалитет 2 провинции Сьюдад-Реаль
Municipio 2 de Cuenca,es,Municipio 2 de Cuenca
Municipio 2 de Cuenca,en,Municipality 2 of Cuenca
Municipio 2 de Cuenca,ru,Муниципалитет 2 провинции Куэнка
Municipio 2 de Cáceres,es,Municipio 2 de Cáceres
Municipio 2 de Cáceres,en,Municipality 2 of Caceres
Municipio 2 de Cáceres,ru,Муниципалитет 2 провинции Касерес
Municipio 2 de Cádiz,es,Municipio 2 de Cádiz
Municipio 2 de Cádiz,en,Municipality 2 of Cadiz
Municipio 2 de Cádiz,ru,Муниципалитет 2 провинции Кадис
Municipio 2 de Córdoba,es,Municipio 2 de Córdoba
Municipio 2 de Córdoba,en,Municipality 2 of Cordoba
Municipio 2 de Córdoba,ru,Муниципалитет 2 провинции Кордова
Municipio 2 de Gipuzkoa,es,Municipio 2 de Gipuzkoa
Municipio 2 de Gipuzkoa,en,Municipality 2 of Gipuzkoa
Municipio 2 de Gipuzkoa,ru,Муниципалитет 2 провинции Гипускоа
Municipio 2 de Girona,es,Municipio 2 de Girona
Municipio 2 de Girona,en,Municipality 2 of Girona
Municipio 2 de Girona,ru,Муниципалитет 2 провинции Жирона
Municipio 2 de Granada,es,Municipio 2 de Granada
Municipio 2 de Granada,en,Municipality 2 of Granada
Municipio 2 de Granada,ru,Муниципалитет 2 провинции Гранада
Municipio 2 de Guadalajara,es,Municipio 2 de Guadalajara
Municipio 2 de Guadalajara,en,Municipality 2 of Guadalajara
Municipio 2 de Guadalajara,ru,Муниципалитет 2 провинции Гвадалахара
Municipio 2 de Huelva,es,Municipio 2 de Huelva
Municipio 2 de Huelva,en,Municipality 2 of Huelva
Municipio 2 de Huelva,ru,Муниципалитет 2 провинции Уэльва
Municipio 2 de Huesca,es,Municipio 2 de Huesca
Municipio 2 de Huesca,en,Municipality 2 of Huesca
Municipio 2 de Huesca,ru,Муниципалитет 2 провинции Уэска
Municipio 2 de Illes Balears,es,Municipio 2 de Illes Balears
Municipio 2 de Illes Balears,en,Municipality 2 of Balearic Islands
Municipio 2 de Illes Balears,ru,Муниципалитет 2 провинции Балеарские острова
Municipio 2 de Jaén,es,Municipio 2 de Jaén
Municipio 2 de Jaén,en,Municipality 2 of Jaen
Municipio 2 de Jaén,ru,Муниципалитет 2 провинции Хаэн
Municipio 2 de La Rioja,es,Municipio 2 de La Rioja
Municipio 2 de La Rioja,en,Municipality 2 of La Rioja
Municipio 2 de La Rioja,ru,Муниципалитет 2 провинции Ла-Риоха
Municipio 2 de Las Palmas,es,Municipio 2 de Las Palmas
Municipio 2 de Las Palmas,en,Municipality 2 of Las Palmas
Municipio 2 de Las Palmas,ru,Муниципалитет 2 провинции Лас-Пальмас
Municipio 2 de León,es,Municipio 2 de León
Municipio 2 de León,en,Municipality 2 of Leon
Municipio 2 de León,ru,Муниципалитет 2 провинции Леон
Municipio 2 de Lleida,es,Municipio 2 de Lleida
Municipio 2 de Lleida,en,Municipality 2 of Lleida
Municipio 2 de Lleida,ru,Муниципалитет 2 провинции Льейда
Municipio 2 de Lugo,es,Municipio 2 de Lugo
Municipio 2 de Lugo,en,Municipality 2 of Lugo
Municipio 2 de Lugo,ru,Муниципалитет 2 провинции Луго
Municipio 2 de Madrid,es,Municipio 2 de Madrid
Municipio 2 de Madrid,en,Municipality 2 of Madrid
Municipio 2 de Madrid,ru,Муниципалитет 2 провинции Мадрид
Municipio 2 de Melilla,es,Municipio 2 de Melilla
Municipio 2 de Melilla,en,Municipality 2 of Melilla
Municipio 2 de Melilla,ru,Муниципалитет 2 провинции Мелилья
Municipio 2 de Murcia,es,Municipio 2 de Murcia
Municipio 2 de Murcia,en,Municipality 2 of Murcia
Municipio 2 de Murcia,ru,Муниципалитет 2 провинции Мурсия
Municipio 2 de Málaga,es,Municipio 2 de Málaga
Municipio 2 de Málaga,en,Municipality 2 of Malaga
Municipio 2 de Málaga,ru,Муниципалитет 2 провинции Малага
Municipio 2 de Navarra,es,Municipio 2 de Navarra
Municipio 2 de Navarra,en,Municipality 2 of Navarre
Municipio 2 de Navarra,ru,Муниципалитет 2 провинции Наварра
Municipio 2 de Ourense,es,Municipio 2 de Ourense
Municipio 2 de Ourense,en,Municipality 2 of Ourense
Municipio 2 de Ourense,ru,Муниципалитет 2 провинции Оуренсе
Municipio 2 de Palencia,es,Municipio 2 de Palencia
Municipio 2 de Palencia,en,Municipality 2 of Palencia
Municipio 2 de Palencia,ru,Муниципалитет 2 провинции Паленсия
Municipio 2 de Pontevedra,es,Municipio 2 de Pontevedra
Municipio 2 de Pontevedra,en,Municipality 2 of Pontevedra
Municipio 2 de Pontevedra,ru,Муниципалитет 2 провинции Понтеведра
Municipio 2 de Salamanca,es,Municipio 2 de Salamanca
Municipio 2 de Salamanca,en,Municipality 2 of Salamanca
Municipio 2 de Salamanca,ru,Муниципалитет 2 провинции Саламанка
Municipio 2 de Santa Cruz de Tenerife,es,Municipio 2 de Santa Cruz de Tenerife
Municipio 2 de Santa Cruz de Tenerife,en,Municipality 2 of Santa Cruz de Tenerife
Municipio 2 de Santa Cruz de Tenerife,ru,Муниципалитет 2 провинции Санта-Крус-де-Тенерифе
Municipio 2 de Segovia,es,Municipio 2 de Segovia
Municipio 2 de Segovia,en,Municipality 2 of Segovia
Municipio 2 de Segovia,ru,Муниципалитет 2 провинции Сеговия
Municipio 2 de Sevilla,es,Municipio 2 de Sevilla
Municipio 2 de Sevilla,en,Municipality 2 of Seville
Municipio 2 de Sevilla,ru,Муниципалитет 2 провинции Севилья
Municipio 2 de Soria,es,Municipio 2 de Soria
Municipio 2 de Soria,en,Municipality 2 of Soria
Municipio 2 de Soria,ru,Муниципалитет 2 провинции Сория
Municipio 2 de Tarragona,es,Municipio 2 de Tarragona
Municipio 2 de Tarragona,en,Municipality 2 of Tarragona
Municipio 2 de Tarragona,ru,Муниципалитет 2 провинции Таррагона
Municipio 2 de Teruel,es,Municipio 2 de Teruel
Municipio 2 de Teruel,en,Municipality 2 of Teruel
Municipio 2 de Teruel,ru,Муниципалитет 2 провинции Теруэль
Municipio 2 de Toledo,es,Municipio 2 de Toledo
Municipio 2 de Toledo,en,Municipality 2 of Toledo
Municipio 2 de Toledo,ru,Муниципалитет 2 провинции Толедо
Municipio 2 de Valencia,es,Municipio 2 de Valencia
Municipio 2 de Valencia,en,Municipality 2 of Valencia
Municipio 2 de Valencia,ru,Муниципалитет 2 провинции Валенсия
Municipio 2 de Valladolid,es,Municipio 2 de Valladolid
Municipio 2 de Valladolid,en,Municipality 2 of Valladolid
Municipio 2 de Valladolid,ru,Муниципалитет 2 провинции Вальядолид
Municipio 2 de Zamora,es,Municipio 2 de Zamora
Municipio 2 de Zamora,en,Municipality 2 of Zamora
Municipio 2 de Zamora,ru,Муниципалитет 2 провинции Самора
Municipio 2 de Zaragoza,es,Municipio 2 de Zaragoza
Municipio 2 de Zaragoza,en,Municipality 2 of Zaragoza
Municipio 2 de Zaragoza,ru,Муниципалитет 2 провинции Сарагоса
Municipio 2 de Álava,es,Municipio 2 de Álava
Municipio 2 de Álava,en,Municipality 2 of Álava
Municipio 2 de Álava,ru,Муниципалитет 2 провинции Алава
Municipio 2 de Ávila,es,Municipio 2 de Ávila
Municipio 2 de Ávila,en,Municipality 2 of Ávila
Municipio 2 de Ávila,ru,Муниципалитет 2 провинции Авила
Municipio 3 de A Coruña,es,Municipio 3 de A Coruña
Municipio 3 de A Coruña,en,Municipality 3 of A Coruña
Municipio 3 de A Coruña,ru,Муниципалитет 3 провинции Ла-Корунья
Municipio 3 de Albacete,es,Municipio 3 de Albacete
Municipio 3 de Albacete,en,Municipality 3 of Albacete
Municipio 3 de Albacete,ru,Муниципалитет 3 провинции Альбасете
Municipio 3 de Alicante,es,Municipio 3 de Alicante
Municipio 3 de Alicante,en,Municipality 3 of Alicante
Municipio 3 de Alicante,ru,Муниципалитет 3 провинции Аликанте
Municipio 3 de Almería,es,Municipio 3 de Almería
Municipio 3 de Almería,en,Municipality 3 of Almeria
Municipio 3 de Almería,ru,Муниципалитет 3 провинции Альмерия
Municipio 3 de Asturias,es,Municipio 3 de Asturias
Municipio 3 de Asturias,en,Municipality 3 of Asturias
Municipio 3 de Asturias,ru,Муниципалитет 3 провинции Астурия
Municipio 3 de Badajoz,es,Municipio 3 de Badajoz
Municipio 3 de Badajoz,en,Municipality 3 of Badajoz
Municipio 3 de Badajoz,ru,Муниципалитет 3 провинции Бадахос
Municipio 3 de Barcelona,es,Municipio 3 de Barcelona
Municipio 3 de Barcelona,en,Municipality 3 of Barcelona
Municipio 3 de Barcelona,ru,Муниципалитет 3 провинции Барселона
Municipio 3 de Bizkaia,es,Municipio 3 de Bizkaia
Municipio 3 de Bizkaia,en,Municipality 3 of Biscay
Municipio 3 de Bizkaia,ru,Муниципалитет 3 провинции Бискайя
Municipio 3 de Burgos,es,Municipio 3 de Burgos
Municipio 3 de Burgos,en,Municipality 3 of Burgos
Municipio 3 de Burgos,ru,Муниципалитет 3 провинции Бургос
Municipio 3 de Cantabria,es,Municipio 3 de Cantabria
Municipio 3 de Cantabria,en,Municipality 3 of Cantabria
Municipio 3 de Cantabria,ru,Муниципалитет 3 провинции Кантабрия
Municipio 3 de Castellón,es,Municipio 3 de Castellón
Municipio 3 de Castellón,en,Municipality 3 of Castellon
Municipio 3 de Castellón,ru,Муниципалитет 3 провинции Кастельон
Municipio 3 de Ceuta,es,Municipio 3 de Ceuta
Municipio 3 de Ceuta,en,Municipality 3 of Ceuta
Municipio 3 de Ceuta,ru,Муниципалитет 3 провинции Сеута
Municipio 3 de Ciudad Real,es,Municipio 3 de Ciudad Real
Municipio 3 de Ciudad Real,en,Municipality 3 of Ciudad Real
Municipio 3 de Ciudad Real,ru,Муниципалитет 3 провинции Сьюдад-Реаль
Municipio 3 de Cuenca,es,Municipio 3 de Cuenca
Municipio 3 de Cuenca,en,Municipality 3 of Cuenca
Municipio 3 de Cuenca,ru,Муниципалитет 3 провинции Куэнка
Municipio 3 de Cáceres,es,Municipio 3 de Cáceres
Municipio 3 de Cáceres,en,Municipality 3 of Caceres
Municipio 3 de Cáceres,ru,Муниципалитет 3 провинции Касерес
Municipio 3 de Cádiz,es,Municipio 3 de Cádiz
Municipio 3 de Cádiz,en,Municipality 3 of Cadiz
Municipio 3 de Cádiz,ru,Муниципалитет 3 провинции Кадис
Municipio 3 de Córdoba,es,Municipio 3 de Córdoba
Municipio 3 de Córdoba,en,Municipality 3 of Cordoba
Municipio 3 de Córdoba,ru,Муниципалитет 3 провинции Кордова
Municipio 3 de Gipuzkoa,es,Municipio 3 de Gipuzkoa
Municipio 3 de Gipuzkoa,en,Municipality 3 of Gipuzkoa
Municipio 3 de Gipuzkoa,ru,Муниципалитет 3 провинции Гипускоа
Municipio 3 de Girona,es,Municipio 3 de Girona
Municipio 3 de Girona,en,Municipality 3 of Girona
Municipio 3 de Girona,ru,Муниципалитет 3 провинции Жирона
Municipio 3 de Granada,es,Municipio 3 de Granada
Municipio 3 de Granada,en,Municipality 3 of Granada
Municipio 3 de Granada,ru,Муниципалитет 3 провинции Гранада
Municipio 3 de Guadalajara,es,Municipio 3 de Guadalajara
Municipio 3 de Guadalajara,en,Municipality 3 of Guadalajara
Municipio 3 de Guadalajara,ru,Муниципалитет 3 провинции Гвадалахара
Municipio 3 de Huelva,es,Municipio 3 de Huelva
Municipio 3 de Huelva,en,Municipality 3 of Huelva
Municipio 3 de Huelva,ru,Муниципалитет 3 провинции Уэльва
Municipio 3 de Huesca,es,Municipio 3 de Huesca
Municipio 3 de Huesca,en,Municipality 3 of Huesca
